,RND_ratio,GDP_per_Asset,Kospi,Patent_per_Million,LP_per_Hour,PL_ratio,LB_ratio,IAD_ratio,Emp_ratio,GNP_per_Man,GDP_per_Cab,GNI_per_Trade,GDP_per_Inv,1_IND,2_IND,3_IND,PBR_per_man,IS_ratio,CPI,CE_per_Man,WAGE_Gap,GINI,BR_per_1000,DR_per_1000,Migration
1990,1.62,3.9,696.11,212,"4,085",39.5,18.4,2.96,58.6,979,-0.86,53.6,39.8,8.2,38.2,53.6,689.7,21.7,44.5,513,4.62,0.256,15.2,5.6,7.537163614
1991,1.74,3.9,610.92,306,"4,821",37.3,17.2,2.9,59.1,"1,069",-2.33,52.5,41.2,7.3,39.2,53.5,776.4,23.8,48.7,563,4.65,0.25,16.4,5.6,6.831721688
1992,1.83,4.1,678.44,365,"5,455",37.3,16.4,3.44,59.4,"1,124",-0.69,51.3,39.7,7.1,37.9,55,824.9,22.5,51.7,607,4.65,0.245,16.7,5.4,6.536898793
1993,1.98,4.2,866.18,486,"6,078",37.9,15.6,3.18,59.1,"1,188",0.52,49.3,40.2,6.4,38.2,55.5,875.7,21.2,54.2,653,4.71,0.25,16,5.2,6.479672145
1994,2.16,4.3,"1,027.37",640,"6,994",37.1,14.5,3.68,60.1,"1,285",-0.99,50.5,41.9,6.2,38,55.8,947.3,19.6,57.6,727,4.55,0.248,16,5.4,6.137084429
1995,2.2,4.3,882.94,"1,314","7,943",36.8,13.8,3.37,60.6,"1,394",-1.76,54.7,43.3,5.8,38.4,55.8,"1,028.10",17.1,60.2,810,4.58,0.251,15.7,5.3,6.353402018
1996,2.26,4.6,651.22,"1,503","8,758",36.7,13.3,3.27,60.8,"1,485",-3.98,55.5,43.5,5.5,37.8,56.7,"1,106.90",16.3,63.2,879,4.66,0.257,15,5.2,6.229783356
1997,2.3,5.3,376.31,"1,466","9,690",36.8,12.2,3.33,60.9,"1,559",-1.85,61,40.8,5,37.5,57.5,"1,135.20",14.5,66,922,4.63,0.257,14.4,5.2,6.176759243
1998,2.16,5.8,562.46,"1,093","10,585",38.3,12.6,2.92,56.4,"1,463",10.69,74.5,34.1,4.6,37,58.4,"1,090.10",21.2,70.9,796,4.69,0.285,13.6,5.2,5.787062807
1999,2.07,5.7,"1,028.07","1,201","11,406",37.6,11.9,3.08,56.7,"1,617",4.45,65.2,33.3,4.8,36.5,58.8,"1,119.80",14.6,71.5,900,4.73,0.288,13,5.2,6.488630668
2000,2.18,5.7,504.62,"1,549","11,965",36.8,12,2.67,58.5,"1,746",1.85,71.7,34.5,4.4,38.1,57.5,"1,154.10",8.4,73.1,994,4.89,0.266,13.3,5.2,6.053914823
2001,2.34,5.8,693.7,"1,557","12,777",36.7,12,2.6,59,"1,812",0.51,67.9,33.5,4.1,36.8,59,"1,170.40",5,76.1,"1,046",4.9,0.277,11.6,5,6.191259133
2002,2.27,6.3,627.55,"1,608","13,963",36,11.6,2.46,60,"1,936",0.77,63.3,33.4,3.8,36.4,59.9,"1,216.00",1,78.2,"1,137",4.93,0.279,10.2,5.1,6.288697962
2003,2.35,6.4,810.71,"1,887","15,129",34.9,11,2.76,59.3,"1,982",1.75,66.4,34,3.5,36.6,59.9,"1,248.70",4.3,80.9,"1,123",5.01,0.27,10.2,5.1,6.2846308
2004,2.53,6.3,895.92,"2,191","16,239",34,10.6,2.7,59.8,"2,072",3.88,76,33.3,3.5,38,58.5,"1,288.80",7.4,83.8,"1,117",5.03,0.277,9.8,5,5.815514198
2005,2.63,6.7,"1,379.37","2,538","17,115",33.6,10.3,2.25,59.7,"2,149",1.41,75.4,32.7,3.1,37.5,59.4,"1,313.50",6,86.1,"1,158",5.15,0.281,8.9,5,5.848341221
2006,2.83,7.2,"1,434.46","2,594","17,788",32.8,10.3,2.1,59.7,"2,249",0.36,77.4,32.2,3,36.9,60.2,"1,339.00",4.9,88.1,"1,197",5.13,0.285,9.2,5,6.091690006
2007,3,7.7,"1,897.13","2,648","19,305",31.8,10.8,1.92,59.8,"2,361",1.05,81.6,32.1,2.7,37,60.3,"1,364.40",3.2,90.3,"1,245",4.99,0.292,10,5,6.012642339
2008,3.12,7.8,"1,124.47","2,597","20,861",31.3,10.5,1.8,59.5,"2,410",0.32,104.5,30.9,2.5,36.3,61.2,"1,377.30",3.3,94.5,"1,252",4.93,0.294,9.4,5,5.704239569
2009,3.29,8.2,"1,682.77","2,589","21,952",30,10.1,1.57,58.6,"2,416",3.73,94.6,30.8,2.6,36.7,60.7,"1,384.60",4.2,97.1,"1,245",4.72,0.295,9,5,5.54871679
2010,3.47,8.2,"2,051.00","2,668","24,284",28.8,9.8,1.55,58.7,"2,561",2.64,99.8,30.5,2.5,38.3,59.3,"1,418.80",4.1,100,"1,289",4.77,0.289,9.4,5.1,5.388126451
2011,3.74,8.5,"1,825.74","2,773","26,307",28.2,10.1,1.47,59.1,"2,635",1.55,113.5,29.7,2.5,38.4,59.1,"1,432.70",3.4,104,"1,312",4.8,0.289,9.4,5.1,5.232105865
2012,4.03,8.8,"1,997.05","2,962","25,807",28.2,10.3,1.39,59.4,"2,684",4.16,112.8,28.9,2.5,38.1,59.5,"1,449.50",3.4,106.3,"1,331",4.63,0.285,9.6,5.3,5.025033677
2013,4.15,8.9,"2,011.34","3,186","27,427",27.4,10.3,1.45,59.5,"2,750",6.21,106.1,29,2.3,38.4,59.3,"1,495.50",4.9,107.7,"1,346",4.7,0.28,8.6,5.3,4.825657055
